DATE,TAVG,TAVG_LAG_1,TAVG_LAG_2,TAVG_LAG_3,TAVG_LAG_4,TAVG_LAG_5,TAVG_LAG_6,TAVG_LAG_7,TAVG_LAG_8,TAVG_LAG_9,TAVG_LAG_10,TAVG_LAG_11,TAVG_LAG_12
1989-05-31,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645
1989-06-30,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667
1989-07-31,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387
1989-08-31,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387
1989-09-30,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333
1989-10-31,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224
1989-11-30,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65
1989-12-31,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903
1990-01-31,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936
1990-02-28,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097,30.517857142857142
1990-03-31,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664,37.24193548387097
1990-04-30,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935,45.916666666666664
1990-05-31,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333,59.33870967741935
1990-06-30,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129,67.83333333333333
1990-07-31,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838,72.7258064516129
1990-08-31,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667,71.59677419354838
1990-09-30,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097,64.66666666666667
1990-10-31,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667,55.24193548387097
1990-11-30,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708,42.71666666666667
1990-12-31,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416,21.677419354838708
1991-01-31,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125,36.354838709677416
1991-02-28,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452,34.125
1991-03-31,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333,40.12903225806452
1991-04-30,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355,47.63333333333333
1991-05-31,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666,54.88709677419355
1991-06-30,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645,66.56666666666666
1991-07-31,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871,73.11290322580645
1991-08-31,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6,73.2741935483871
1991-09-30,63.65,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516,64.6
1991-10-31,56.354838709677416,63.65,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333,58.29032258064516
1991-11-30,45.166666666666664,56.354838709677416,63.65,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484,48.53333333333333
1991-12-31,35.903225806451616,45.166666666666664,56.354838709677416,63.65,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612,40.70967741935484
1992-01-31,30.983870967741936,35.903225806451616,45.166666666666664,56.354838709677416,63.65,73.74193548387096,74.56451612903226,69.96666666666667,63.24193548387097,51.28333333333333,41.53225806451613,36.017857142857146,29.403225806451612
